DATA DA VISTORIA,EMPRESA,EQUIPAMENTO,MODELO,PLACA,DATA RETORNO,SITUAÇÃO,STATUS,OBSERVACOES
2025-06-18,CDR,CAMINHÃO,,PQV9C43,2025-09-16,APROVADO,🚨 VENCIDO,-
2025-06-18,SERRA AZUL,ONIBUS,,TJH5J91,2025-07-18,APROVADO,🚨 VENCIDO,-
2025-06-23,SERRA AZUL,ONIBUS,ONIBUS,FZZ1E22,2025-07-23,APROVADO,🚨 VENCIDO,-
2025-06-26,CDR,CAMINHÃO,,RBZ7C12,2025-09-24,APROVADO,🚨 VENCIDO,-
2025-06-26,CDR,CAMINHÃO,,QTQ2H55,2025-09-24,APROVADO,🚨 VENCIDO,-
2025-06-30,SERRA AZUL,ONIBUS,,GBW1I17,2025-07-30,APROVADO,🚨 VENCIDO,-
2025-07-01,CDR,CAMINHÃO,,JFK8I21,2025-09-29,APROVADO,🚨 VENCIDO,-
2025-07-07,CDR,CAMINHÃO,,QTQ2825,2025-10-05,APROVADO,🚨 VENCIDO,-
2025-07-07,CDR,CARRO,,RCA6D32,2025-10-05,APROVADO,🚨 VENCIDO,-
2025-07-08,SERRA AZUL,ONIBUS,ONIBUS,EYX4H92,2025-08-07,APROVADO,🚨 VENCIDO,-
2025-07-10,ALMA LOGISTICA,CARRO,,QAV5D89,2025-10-08,APROVADO,🚨 VENCIDO,-
2025-07-10,JVS TRANSPORTES,CAMINHÃO,64898,RMY3D52,2025-10-08,APROVADO,🚨 VENCIDO,-
2025-07-10,SERRA AZUL,ONIBUS,ONIBUS,FXK8H67,2025-08-09,APROVADO,🚨 VENCIDO,-
2025-07-10,SERRA AZUL,ONIBUS,ONIBUS,ENE4C25,2025-08-09,APROVADO,🚨 VENCIDO,-
2025-07-10,65290,CARRETA,65290,65290,2025-10-08,APROVADO,🚨 VENCIDO,-
2025-07-10,65316,CARRETA,65319,65316,2025-10-08,APROVADO,🚨 VENCIDO,-
2025-07-14,UNICALD MONTAGEM INDUSTRIAL,CARRO,CARRO,HNM4A78,2025-10-12,APROVADO,🚨 VENCIDO,-
2025-07-14,RODRIGO AUTOELETRICA,CARRO,SAVEIRO,FYR0156,2025-10-12,APROVADO,🚨 VENCIDO,-
2025-07-16,SERRA AZUL,ONIBUS,ONIBUS,RZL3C28,2025-08-15,APROVADO,🚨 VENCIDO,-
2025-07-22,SERRA AZUL,ONIBUS,ONIBUS,SVS9F97,2025-08-21,APROVADO,🚨 VENCIDO,-
2025-07-22,SERRA AZUL,ONIBUS,ONIBUS,FTV2B71,2025-08-21,APROVADO,🚨 VENCIDO,-
2025-07-23,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2025-08-22,APROVADO,🚨 VENCIDO,-
2025-07-23,SERRA AZUL,ONIBUS,ONIBUS,FLIG121,2025-08-22,APROVADO,🚨 VENCIDO,-
2025-07-24,SERRAPILHA LOCAÇÃO,CARRO,STRADA,EUZ5F24,2025-10-22,APROVADO,🚨 VENCIDO,-
2025-07-24,SERRAPILHA LOCAÇÃO,CARRO,STRADA,FSM5825,2025-10-22,APROVADO,🚨 VENCIDO,-
2025-07-24,SERRA AZUL,ONIBUS,ONIBUS,PHF9B00,2025-08-23,APROVADO,🚨 VENCIDO,-
2025-07-24,SERRA AZUL,ONIBUS,ONIBUS,FTA9E37,2025-08-23,APROVADO,🚨 VENCIDO,-
2025-07-24,SERRA AZUL,ONIBUS,ONIBUS,FCL9E41,2025-08-23,APROVADO,🚨 VENCIDO,-
2025-07-25,CDR,TRATOR,BH205I,BH205I,2025-10-23,APROVADO,🚨 VENCIDO,-
2025-07-28,SERRA AZUL,ONIBUS,ONIBUS,PHD2E50,2025-08-27,APROVADO,🚨 VENCIDO,-
2025-07-31,SERRA AZUL,ONIBUS,ONIBUS,BWQ9F16,2025-08-30,APROVADO,🚨 VENCIDO,-
2025-08-01,SERRA AZUL,ONIBUS,ONIBUS,EFI6D57,2025-08-31,APROVADO,🚨 VENCIDO,-
2025-08-07,SERRA AZUL,ONIBUS,van,FXK8467,2025-09-06,APROVADO,🚨 VENCIDO,-
2025-08-08,SERRA AZUL,ONIBUS,ONIBUS,ENE4C26,2025-09-07,APROVADO,🚨 VENCIDO,-
2025-08-08,MATIAS MECANIZAÇÃO,RETRO ,RETRO,64311,2025-11-06,APROVADO,🚨 VENCIDO,-
2025-08-08,MATIAS MECANIZAÇÃO,RETRO ,RETRO,64039,2025-11-06,APROVADO,🚨 VENCIDO,-
2025-08-08,RG SERVIÇOS,CARRO,CARRO,QAC3A40,2025-11-06,APROVADO,🚨 VENCIDO,-
2025-08-14,MATIAS MECANIZAÇÃO,CARRO,CARRO,BRQ4H74,2025-11-12,APROVADO,🚨 VENCIDO,-
2025-08-15,SERRA AZUL,ONIBUS,ONIBUS,RZL3C28,2025-09-14,APROVADO,🚨 VENCIDO,-
2025-08-15,SERRA AZUL,ONIBUS,ONIBUS,SVS9F97,2025-09-14,APROVADO,🚨 VENCIDO,-
2025-08-22,SERRA AZUL,CAMINHÃO,CAMINHÃO,GFZ8J26,2025-11-20,APROVADO,🚨 VENCIDO,-
2025-08-23,SERRA AZUL,ONIBUS,ONIBUS,FTV2B71,2025-09-22,APROVADO,🚨 VENCIDO,-
2025-08-27,SERRA AZUL,ONIBUS,ONIBUS,EFI6D57,2025-09-26,APROVADO,🚨 VENCIDO,-
2025-08-27,YETRO TRANSPORTES,CAMINHÃO,CAMINHÃO,GAE0G27,2025-11-25,APROVADO,🚨 VENCIDO,-
2025-08-28,SERRA AZUL,ONIBUS,ONIBUS,PHF9B00,2025-09-27,APROVADO,🚨 VENCIDO,-
2025-09-03,GMA AGRICOLA PLANT,CAMINHÃO,MUNCK,KKO6I16,2025-12-02,APROVADO,🚨 VENCIDO,-
2025-09-03,SERRA AZUL,ONIBUS,ONIBUS,FTA8F37,2025-10-03,REPROVADO,❌ PENDENTE,-
2025-09-03,EDSON,CAMINHÃO,MUNCK,ISDI592,2025-12-02,APROVADO,🚨 VENCIDO,-
2025-09-04,LG,CARRO,,SCZ5D46,2025-12-03,APROVADO,🚨 VENCIDO,-
2025-09-10,NÃO INFORMADO,CAVALO,CAVALO,64795,2025-12-09,APROVADO,🚨 VENCIDO,-
2025-09-10,NÃO INFORMADO,CARRO,GOL,PRL3L43,2025-12-09,APROVADO,🚨 VENCIDO,-
2025-09-10,NÃO INFORMADO,CAMINHÃO,AXOR 2544 S 6X4,64960,2025-12-09,APROVADO,🚨 VENCIDO,-
2025-09-11,SERRA AZUL,ONIBUS,ONIBUS,GHR2E74,2025-10-11,APROVADO,🚨 VENCIDO,-
2025-09-11,SERRA AZUL,ONIBUS,VAN,FXK8467,2025-10-11,APROVADO,🚨 VENCIDO,-
2025-09-19,SERRA AZUL,ONIBUS,ONIBUS,RZL3C28,2025-10-19,APROVADO,🚨 VENCIDO,-
2025-09-19,SERRA AZUL,ONIBUS,ONIBUS,FTA9F37,2025-10-19,APROVADO,🚨 VENCIDO,-
2025-10-02,JOSE CARLOS DE FREITAS JUNIOR CIA LTDA,ONIBUS,ONIBUS,GBW1I17,2025-11-01,APROVADO,🚨 VENCIDO,-
2025-10-03,NÃO INFORMADO,CAMINHÃO,CAMINHÃO,QQT5B76,2026-01-01,APROVADO,🚨 VENCIDO,-
2025-10-06,Spirandelli,PATROL,PATROL,64787,2026-01-04,APROVADO,🚨 VENCIDO,-
2025-10-06,Spirandelli,PÁ CARREGADORA,PÁ CARREGADORA,64826,2026-01-04,APROVADO,🚨 VENCIDO,-
2025-10-06,Spirandelli,PÁ CARREGADORA,PÁ CARREGADORA,72047,2026-01-04,APROVADO,🚨 VENCIDO,-
2025-10-07,SERRA AZUL,ONIBUS,ONIBUS,ENE4C26,2025-11-06,APROVADO,🚨 VENCIDO,-
2025-10-07,CDR,CAMINHÃO,CAMINHÃO,PRY8E89,2026-01-05,APROVADO,🚨 VENCIDO,-
2025-10-08,CDR,CAMINHÃO,CAMINHÃO,FRYZH21,2026-01-06,APROVADO,🚨 VENCIDO,-
2025-10-10,SEALS TRANSPORTES LTDA,CAMINHÃO,64672,SMB2E4,2026-01-08,APROVADO,🚨 VENCIDO,-
2025-10-10,CDR,CAMINHÃO,CAMINHÃO,QQE7D15,2026-01-08,APROVADO,🚨 VENCIDO,-
2025-10-10,CDR,CAMINHÃO,CAMINHÃO,QTQ2H55,2026-01-08,REPROVADO,❌ PENDENTE,-
2025-10-10,CDR,CAMINHÃO,CAMINHÃO,PQD0C84,2026-01-08,REPROVADO,❌ PENDENTE,-
2025-10-13,JULIO CEZAR,CAMINHÃO,CAMINHÃO,ENH8417,2026-01-11,REPROVADO,❌ PENDENTE,-
2025-10-14,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2025-11-13,APROVADO,🚨 VENCIDO,-
2025-10-15,OSPINANDELI AGRICOLA ,ESCAVADORA,ESCAVADORA,opcaec.230f3,2026-01-13,APROVADO,🚨 VENCIDO,-
2025-10-15,SERRA AZUL,ONIBUS,ONIBUS,PHF9B00,2025-11-14,APROVADO,🚨 VENCIDO,-
2025-10-20,RODRIGO AUTOELETRICA,CARRO,PICKUP,FYR0J56,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-20,ADILSON CARLOS R MALTA,CARRO,CARRO,OPJ8954,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-20,ADILSON CARLOS R MALTA,PÁ CARREGADORA,PÁ CARREGADORA,S/F,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-22,HIDRO TREVO,CAMINHÃO,CAMINHAO,DRR5I54,2026-01-20,APROVADO,🚨 VENCIDO,-
2025-10-22,SERRA AZUL,ONIBUS,ONIBUS,BWQ9DI6,2025-11-21,APROVADO,🚨 VENCIDO,-
2025-10-23,LG TRANSPORTE ,ONIBUS,ONIBUS,GJG1C16,2025-11-22,APROVADO,🚨 VENCIDO,-
2025-10-23,AKT TRANSPORTE,CAMINHAO,CAMINHÃO,6107,2026-01-21,APROVADO,🚨 VENCIDO,-
2025-10-24,COSTA SAMPAIO,CAMINHAO,CAMINHAO,EZY9D39,2026-01-22,APROVADO,🚨 VENCIDO,-
